Altium Designer Pick and Place Locations
C:\Users\Acer\OneDrive\Documents\altium\project\ngoc_maysay1\Project Outputs for ngoc_maysay\Pick Place for Ngoc_say2.csv

========================================================================================================================
File Design Information:

Date:       19/10/24
Time:       21:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R1","1K","TopLayer","RES_0805","53.3401","51.5619","270","1 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
"Q8","A 1015","TopLayer","SOT23","51.1810","22.7330","180","Dán"
"Q7","C1815","TopLayer","SOT23B","72.2630","4.5771","270","Dán"
"Q6","A 1015","TopLayer","SOT23","44.0690","22.7330","180","Dán"
"Q5","A 1015","TopLayer","SOT23","47.7520","22.7330","180","Dán"
"Q4","A 1015","TopLayer","SOT23","54.7370","22.6380","180","Dán"
"Q3","C1815","TopLayer","SOT23B","83.3120","6.8529","90","Dán"
"Q2","2n2222","TopLayer","SOT-23","20.7010","24.1300","270","NPN Bipolar Transistor"
"Q1","Mosfet P","TopLayer","SOT-23","79.3600","10.8740","180","Mosfet P"
"P6","motor","TopLayer","HDR/Header/2/BOX","84.9630","13.0340","180","Header, 2-Pin"
"P5","led UVC","TopLayer","HDR/Header/2/BOX","66.0000","6.0000","270","Header, 2-Pin"
"P4","Header 7","TopLayer","HDR/Header/7/2mm","85.9790","28.7020","270","Header, 7-Pin"
"P2","power","TopLayer","HDR/Header/2/BOX","4.0000","44.2700","360","Header, 2-Pin"
"P1","downcode","TopLayer","HDR/Header/3/2mm","86.0000","39.0000","90","Header, 3-Pin"
"L2","LED 7 Thanh","BottomLayer","LED_7x4_0.36","45.1270","13.7460","180","Dán"
"L1","100uH - 3A SMD","TopLayer","Cuon_Cam_7.5x7x5","7.4930","34.4170","180","Dán"
"D4","M7","TopLayer","DO-214AC_(SMA)_L","16.2560","25.2730","90","Default Diode"
"D3","ss34","TopLayer","SOD123","13.4620","35.9410","90","Schottky Diode"
"D2","Led","BottomLayer","LED_5MM_-_RED","85.9790","46.6890","90","Typical LED"
"D1","Led","TopLayer","Led_0805_RED","52.3240","48.0060","0","Typical LED"
"C9","1uF","TopLayer","CAP_0805","46.8631","46.5621","360","1µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"C8","104","TopLayer","Tu_0805","33.5324","39.7476","360","Dán"
"C7","104","TopLayer","Tu_0805","36.5716","28.4514","180","Dán"
"C5","1000uF","TopLayer","tu_nhom_10_(G)","21.3360","33.9090","180","Dán"
"C4","104","TopLayer","Tu_0805","57.4006","47.1926","270","Dán"
"C3","104","TopLayer","Tu_0805","55.4956","47.1926","270","Dán"
"C2","1000uF","TopLayer","tu_nhom_10_(G)","13.3350","46.3550","270","Dán"
"C1","1uF","TopLayer","CAP_0805","77.3431","22.4791","360","1µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"AMS1","AMS1117-3.3V","TopLayer","SOT223","33.5280","34.0360","360","Dán"
"12","330R","TopLayer","R_0805","51.1810","25.6540","180","Resistor"
"11","330R","TopLayer","R_0805","44.0690","25.6540","180","Resistor"
"10","330R","TopLayer","R_0805","47.6250","25.6540","180","Resistor"
"9","330R","TopLayer","R_0805","54.7370","25.6540","180","Resistor"
"8","220R","TopLayer","R_0805","57.5310","22.7330","90","Resistor"
"7","220R","TopLayer","R_0805","55.4990","39.1570","90","Resistor"
"6","220R","TopLayer","R_0805","62.3570","15.1130","360","Resistor"
"5","220R","TopLayer","R_0805","62.3570","13.2080","360","Resistor"
"4","220R","TopLayer","R_0805","62.3160","11.3030","360","Resistor"
"3","220R","TopLayer","R_0805","59.4360","22.7330","90","Resistor"
"2","220R","TopLayer","R_0805","62.3570","17.0180","360","Resistor"
"1","220R","TopLayer","R_0805","81.9150","48.4670","270","Resistor"
"*","ESP32 WROOM 32","TopLayer","ESP32-WROOM-32","70.4120","38.7600","360",""
